Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
BUY 112,Madness,Grey Day,Stiff Records,"7"", Single",,1981,401158,Uncategorized,2019-12-31 20:31:45,,,
BUY 126,Madness,Shut Up,Stiff Records,"7"", Single",,1981,396585,Uncategorized,2019-12-31 20:33:11,,,
BUY 62,Madness,My Girl,Stiff Records,"7"", Single",,1979,412941,Uncategorized,2019-12-31 20:20:22,,,
BUY 71,Madness,Work Rest & Play,Stiff Records,"7"", EP, Whi",,1980,478091,Uncategorized,2019-12-31 20:24:41,,,
BUY 84,Madness,Baggy Trousers,Stiff Records,"7"", Single, Gre",,1980,370489,Uncategorized,2019-12-31 20:25:24,,,
BUYIT 56,Madness,One Step Beyond...,Stiff Records,"12""",,1979,479175,Uncategorized,2019-09-09 22:52:04,,,
P-BUY 146,Madness,House Of Fun,Stiff Records,"7"", Single, Pic",,1982,477792,Uncategorized,2019-12-31 20:39:24,,,
PBUY 117,The Belle Stars,Hiawatha,Stiff Records,"7"", Pic",,1981,3020792,Uncategorized,2019-12-30 21:35:09,,,
SEEZ 30,Ian Dury And The Blockheads,Laughter,Stiff Records,"LP, Album",,1980,670986,Uncategorized,2019-01-17 22:13:49,,,
SEEZ 39,Madness,7,Stiff Records,"LP, Album, MPO",,1981,384117,Uncategorized,2019-01-18 19:04:49,,,
SEEZ 4,Ian Dury,New Boots And Panties!!,Stiff Records,"LP, Album",,1977,392738,Uncategorized,2019-01-17 22:08:41,,,
"6.12777, BUY 71",Madness,Night Boat To Cairo,"Stiff Records, Stiff Records","7""",,1980,1615218,Uncategorized,2019-12-31 20:21:29,,,
"640157, 640 157",Ian Dury And The Blockheads,Hit Me With Your Rhythm Stick,"Stiff Records, Stiff Records","7"", Single, M/Print",,1978,3813309,Uncategorized,2019-12-31 14:07:06,,,
"BUY 134, Buy 134",Madness,It Must Be Love,"Stiff Records, Stiff Records","7"", Single",,1981,396586,Uncategorized,2019-12-31 20:37:53,,,
"BUY IT 140, BUY-IT 140",Madness,"Cardiac Arrest (Extended 12"" Version)","Stiff Records, Stiff Records","12"", Single",,1982,395350,Uncategorized,2019-09-09 22:57:41,,,
"BUY IT 62, BUYIT 62",Madness,My Girl,"Stiff Records, Stiff Records","12""",,1980,479207,Uncategorized,2019-09-09 22:54:33,,,
"BUY-IT 108, BUYIT 108",Madness,The Return Of The Los Palmas 7,"Stiff Records, Stiff Records","12"", Single, Yel",,1981,1206155,Uncategorized,2019-09-09 22:56:24,,,
"6.12 644, 6.12644 AC, BUY 56",Madness,One Step Beyond...,"Stiff Records, Stiff Records, Stiff Records","7"", Single",,1979,858107,Uncategorized,2019-12-31 20:19:16,,,
12 STRX 76,Last Rhythm,Last Rhythm (The 1996 Remixes),Stress Records,"12""",,1996,44409,Uncategorized,2019-09-17 21:06:01,,,
SST 3,Creative Thieves,Nasty Rhythm (PKA Mix),Stress Records,"12""",,1991,40806,Uncategorized,2019-09-16 21:33:54,,,
SST 4,PKA,Temperature Rising (Music For The Masses) / Let Me Hear You (Say Yeah) (Bass Bins At Dawn Mix),Stress Records,"12""",,1991,262135,Uncategorized,2017-02-06 23:19:03,,,
"VCS 001, UCS 001",Happy Larry's Big Beat Orchestra,Get On In The Move,"Subrosa Record, Subrosa Record","12""",,1991,1099399,Uncategorized,2019-09-22 21:56:23,,,
SUGA 001,The Wah Wah Warrior,Beelzebubs Belly Dance,Sugar Sweet,"12""",,1992,172276,Uncategorized,2017-02-28 19:00:44,,,
SUGA 001,The Wah Wah Warrior,Beelzebubs Belly Dance,Sugar Sweet,"12""",,1992,172276,Uncategorized,2017-02-28 19:05:43,,,
SR057/1,Frankie Valentine,World Of What,Sunshine Enterprises,"12""",,2006,1069735,Uncategorized,2019-09-23 18:55:41,,,
SURCD5168,Rend Collective,Organic Family Hymnal,Survivor Records,"CD, Album",,2010,8950111,Uncategorized,2017-02-06 23:06:43,,,
"TLKXR 23, 866 929-1",Galliano,Skunk Funk (Remix) (Andy Weatherall Mixes),"Talkin' Loud, Talkin' Loud","12""",,1992,81953,Uncategorized,2019-09-22 22:07:09,,,
"TLKX3, TLKX 3, 878 511-1",Galliano,Welcome To The Story,"Talkin' Loud, Talkin' Loud, Talkin' Loud","12""",,1990,196008,Uncategorized,2019-09-22 22:08:03,,,
TTT 027,Voice Of Africa,Hoomba Hoomba,Tam Tam Records,"12""",,1990,168909,Uncategorized,2017-02-28 19:05:11,,,
TTT 028,Munchie,I'm Coming Out,Tam Tam Records,"12"", Promo",,1990,206785,Uncategorized,2019-09-23 16:22:52,,,
TTT 030,4 For Money,It's A Moment In Time,Tam Tam Records,"12""",,1990,33547,Uncategorized,2019-09-22 22:21:24,,,
TTT 42,The Creations (10) Featuring Debbie Sharp,Pay The Price,Tam Tam Records,"12""",,1991,117127,Uncategorized,2019-09-16 21:32:52,,,
TTT 43,Velvet (2),Hold Me,Tam Tam Records,"12""",,1991,178374,Uncategorized,2017-02-28 19:25:47,,,
TMG 833,The Jackson 5,Lookin' Through The Windows,Tamla Motown,"7"", Single, Sol",,1972,2399506,Uncategorized,2019-12-31 18:07:18,,,
STAR 2229,Bad Manners,The Height Of Bad Manners,Telstar,"LP, Comp, Gat",,1983,1657577,Uncategorized,2017-02-02 07:48:15,,,
TAKRL 1915,David Bowie,Soft In The Middle,The Amazing Kornyfone Record Label,"LP, Unofficial",,1978,5079339,David Bowie,2017-02-28 17:46:07,,,
12 CASA 1,Chimo Bayo,Asi Me Gusta A Mi,The Brothers Organisation,"12""",,1991,75056,Uncategorized,2019-09-16 21:15:36,,,
12 BORG 12,Natural Experience Featuring Kayo (2) / Quaker State,Going Back To Basics! Volume 1,"The Brothers Organisation, SweMix Records","12""",,1990,190832,Uncategorized,2017-02-28 19:10:25,,,
CC 001 (S 82 CUS 1412),Dogmatic Element,Strange Passion,The Cattle Company,"7"", Single",,1982,1474554,Uncategorized,2019-12-31 13:22:22,,,
SRT 4KS 128,Dogmatic Element,False Emotions,The Cattle Company,"7""",,1984,4304896,Uncategorized,2019-12-31 13:22:52,,,
12 TMRC 3,Jay Henry,If You Love Me (The Jay Henry Mixes),The Master Recording Company,"12""",,1991,9090956,Uncategorized,2019-09-22 21:53:26,,,
XPRES   1312,Elton John,Are You Ready For Love,The Rocket Record Company,"12""",,1979,1139684,Uncategorized,2019-09-09 22:45:29,,,
XPRES1,Elton John,Part Time Love,The Rocket Record Company,"7"", Single",,1978,12976134,Uncategorized,2019-12-31 18:55:53,,,
"SNMXR 4, 869251-1",Carlton,Love And Pain - The Steve Jervier Remixes,"Three Stripe Records, FFRR, FFRR","12""",,1991,1487688,Uncategorized,2019-09-15 22:07:01,,,
"SNMXR 2, 869 135.1, 869 135 1",Carlton,Cool With Nature (Remix),"Three Stripe Records, Three Stripe Records, Three Stripe Records, FFRR","12""",,1990,111751,Uncategorized,2019-09-15 22:07:34,,,
TIDYTBBS01,Various,"Trashed, Bootlegs & Blags",Tidy,"12"", Ltd, Smplr",,2007,1200258,Uncategorized,2019-09-23 19:02:38,,,
6121 501,Freddie Starr,It's You,Tiffany (3),"7"", Single",,1974,464773,Uncategorized,2020-01-03 21:49:48,,,
TBCD 510,David Bowie vs 808 State,Sound + Vision (Remix),"Tommy Boy, Rykodisc","CD, Maxi",,1991,58830,Uncategorized,2017-05-30 12:09:32,,,
45-JAR 159,Craig Douglas (2),Only Sixteen,Top Rank (2),"7"", Single, Pus",,1959,6075461,Uncategorized,2019-12-31 13:28:39,,,
TR-7818,Bob & Marcia,Pied Piper,Trojan Records,"7"", Single, Sol",,1971,536487,Uncategorized,2019-12-30 22:06:17,,,
TRLS 176,Various,20 Reggae Blockbusters,Trojan Records,"LP, Comp",,1979,897116,Uncategorized,2019-01-21 23:08:02,,,
TLOVE 1,John Truelove Presents... The Source Featuring Candi Staton,You Got The Love (Erens Bootleg Mix),Truelove Electronic Communications,"12""",,1991,2086776,Uncategorized,2017-02-02 19:06:19,,,
CHR TT 5003,The Specials,More Specials,Two-Tone Records,"LP, Album + 7"", Single",,1980,382544,Uncategorized,2017-02-01 23:13:45,,,
CHR TT 5007,Various,This Are Two Tone,Two-Tone Records,"LP, Comp, Tur",,1983,404894,Uncategorized,2017-02-01 23:08:22,,,
CHS TT 12,The Bodysnatchers,Easy Life / Too Experienced,Two-Tone Records,"7""",,1980,4563357,Uncategorized,2019-12-30 22:08:17,,,
CHS TT 13,The Specials,Stereotype,Two-Tone Records,"7"", Single",,1980,382558,Uncategorized,2020-01-03 21:28:31,,,
CHS TT 16,The Specials,Do Nothing / Maggie's Farm,Two-Tone Records,"7"", Single",,1980,4739281,Uncategorized,2020-01-03 21:30:31,,,
CHS TT 16,The Specials,Do Nothing / Maggie's Farm,Two-Tone Records,"7"", Single, Sil",,1980,1491856,Uncategorized,2020-01-03 21:34:47,,,
CHS TT11,The Specials,Rat Race,Two-Tone Records,"7"", Single, Pap",,1980,1978160,Uncategorized,2020-01-03 21:25:46,,,
CHS TT17,The Specials,Ghost Town,Two-Tone Records,"7"", Single, Sil",,1981,3089810,Uncategorized,2020-01-03 21:38:08,,,
CHS TT 12 30,The Specials / Special Productions,Ghost Town Revisited,"Two-Tone Records, Tone Records (3)","12""",,1991,606793,Uncategorized,2017-02-02 19:14:46,,,
"CHR TT 5004, CHRTT 5004",Various,Dance Craze,"Two-Tone Records, Two-Tone Records","LP, Comp",,1981,387807,Uncategorized,2017-02-01 23:07:06,,,
"TT1, TT2",The Specials / The Selecter,Gangsters / The Selecter,"Two-Tone Records, Two-Tone Records","7"", RP, Sol",,1979,9180411,Uncategorized,2020-01-03 21:22:55,,,
U2.COM2,U2,Zoo TV Live,U2 Dot Com,"2xCD, Club, Ltd",,2006,873149,Uncategorized,2017-02-01 22:53:01,,,
U2.COM2,U2,Zoo TV Live,U2 Dot Com,"2xCD, Club, Ltd",,2006,873149,Uncategorized,2017-02-07 15:32:17,,,
U2.COM6,U2,Duals,U2 Dot Com,"CD, Comp, Ltd, Car",,2011,2832801,Uncategorized,2017-02-07 13:38:55,,,
U2.COM7,U2,U22: A 22 Track Live Collection From U2360°,U2 Dot Com,"2xCD, Album, Ltd",,2012,3665037,Uncategorized,2017-02-01 22:51:38,,,
U2.COM7,U2,U22: A 22 Track Live Collection From U2360°,U2 Dot Com,"2xCD, Album, Ltd",,2012,3665037,Uncategorized,2019-01-22 07:38:15,,,
U2COMV10,U2,"Another Time, Another Place: Live At The Marquee London 1980","U2 Dot Com, Island Records, Interscope Records","2x10"", Ltd, RM",,2015,7301763,Uncategorized,2019-01-22 07:29:25,,,
U2.COM5,U2,Artificial Horizon,"U2 Dot Com, Island Records, Mercury Music Group, Interscope Records, Universal","CD, Comp, Ltd",,2010,2182670,Uncategorized,2017-02-07 13:49:19,,,
BP 316,Buzzcocks,You Say You Don't Love Me,United Artists Records,"7""",,1979,423747,Uncategorized,2019-12-30 22:28:42,,,
UAG 30197,Buzzcocks,Love Bites,United Artists Records,"LP, Album, Emb",,1978,383199,Uncategorized,2017-02-02 07:49:35,,,
UP 35633,Bobby Goldsboro,Honey,United Artists Records,"7"", Single, Mono, RE",,1974,10248566,Uncategorized,2019-12-31 14:49:38,,,
UP 36005,Bobby Goldsboro,I Wrote A Song ( Sing Along ),United Artists Records,"7""",,1975,2608167,Uncategorized,2019-12-31 14:53:23,,,
UP 36350,The Stranglers,5 Minutes,United Artists Records,"7"", Single",,1978,609136,Uncategorized,2020-01-03 22:01:24,,,
"BP345, BP 345",The Vapors,News At Ten,"United Artists Records, United Artists Records","7"", Single",,1980,413515,Uncategorized,2020-01-03 23:24:18,,,
UNITY T1,Subsonic 2,We Go Subsonic / Brass Construction,"Unity (4), Columbia","12"", Single",,1990,332253,Uncategorized,2017-02-28 19:29:25,,,
1786137,Duke Special,I Never Thought This Day Would Come,"Universal Music Ireland, V2 Music Ltd.","CD, Album, Enh, Sup",,2008,3287617,Uncategorized,2017-02-07 09:18:55,,,
5313464,Various,Motown 50 Yesterday - Today - Forever,Universal Music TV,"3xCD, Comp",,2008,2920095,Uncategorized,2017-02-07 13:36:52,,,
2737614,U2,U2360° At The Rose Bowl (Super Deluxe Edition),"Universal Music, Island Records","Box, Comp, Dlx, Ltd + 2xDVD-V, NTSC + Blu-ray + 7""",,2010,2373515,Uncategorized,2017-02-07 13:53:15,,,
URBX 50,Jay Williams,Sweat,Urban (2),"12""",,1990,443015,Uncategorized,2017-02-20 23:10:04,,,
URBX 73 DJ,Sweet Paulino,New Horizon,Urban (2),"12"", Promo",,1991,5915183,Uncategorized,2017-02-28 19:38:31,,,
"URBX 66, 879475-1, 879 475.1",Frank K Featuring Winston Office,Everybody Let's Somebody Love,"Urban (2), Polydor, Polydor","12""",,1991,1273054,Uncategorized,2019-09-22 22:16:32,,,
"URBXR 66, 879 477-1, 879 477.1",Frank K Featuring Winston Office,Everybody Let's Somebody Love (Pure Sexy Remix),"Urban (2), Polydor, Polydor","12""",,1991,64139,Uncategorized,2019-09-22 22:17:21,,,
"URBX 48, 876 693-1",Good Bye FBI,Paradise Express,"Urban (2), Urban (2)","12""",,1990,133884,Uncategorized,2019-09-22 22:01:06,,,
"URBX 54, 877 195-1",BBG,Snappiness,"Urban (2), Urban (2)","12""",,1990,44042,Uncategorized,2019-09-15 21:51:25,,,
"URBX 63, 879 053-1",Horses Without Heads,What's Your Name,"Urban (2), Urban (2)","12""",,1990,775667,Uncategorized,2019-09-22 21:45:27,,,
"URBXR 63, 879 055-1",Horses Without Heads,What's Your Name (Remix),"Urban (2), Urban (2)","12""",,1990,1046445,Uncategorized,2019-09-22 21:46:30,,,
"URBX 55, 877429-1, 877 429-1",Maureen Walsh,Thinking Of You,"Urban (2), Urban (2), Urban (2)","12""",,1990,441685,Uncategorized,2017-02-28 19:01:48,,,
"URBXR 65, urbxr 65, 879 405-1",Maureen Walsh,Where Has All The Love Gone (Remix),"Urban (2), Urban (2), Urban (2)","12""",,1990,190537,Uncategorized,2017-02-28 19:03:08,,,
1786648,Duke Special,Sweet Sweet Kisses,V2,"CD, Single",,2008,2669811,Uncategorized,2017-02-07 09:47:38,,,
DSdlep1,Duke Special,When The Bear Bytes,V2,"CD, EP",,2006,3274538,Uncategorized,2017-02-07 09:51:51,,,
VVR1041442,Duke Special,Songs From The Deep Forest,V2,"CD, Album",,2006,1039890,Uncategorized,2017-02-07 09:27:45,,,
VVR5042618P,Duke Special,Portrait,V2,"CD, EP, Promo",,2006,3194943,Uncategorized,2017-02-07 10:13:26,,,
VVR5042703P,Duke Special,Last Night I Nearly Died (But I Woke Up Just In Time),V2,"CD, Single, Promo, Car",,2006,1494490,Uncategorized,2017-02-07 11:39:37,,,
VVR5042707,Duke Special,Last Night I Nearly Died (But I Woke Up Just In Time),V2,"7"", Single",,2006,1742505,Uncategorized,2019-12-31 13:40:37,,,
VVR5044373,Duke Special,Freewheel,V2,"CD, Single",,2007,1672540,Uncategorized,2017-02-07 11:34:35,,,
VVR5044379,Duke Special,Freewheel - Save Me From The Movies,V2,DVD-V,,2007,7396773,Uncategorized,2017-02-07 09:43:08,,,
VVR5047423P,Duke Special,Our Love Goes Deeper Than This,V2,"CD, Single",,2007,3274544,Uncategorized,2017-02-07 09:53:38,,,
VVR5049153P,Duke Special,No Cover Up,V2,"CD, Single, Promo",,2007,2864826,Uncategorized,2017-02-07 09:49:11,,,
1789378,Duke Special,The Anniversary EP,V2 Music Ltd.,"2x7"", EP",,2009,6206240,Uncategorized,2019-12-31 13:36:35,,,
VIS-06-12 T,Julie Stapleton,Where's Your Love Gone? / Just Dreaming,V4Visions,"12"", W/Lbl",,1991,1714709,Uncategorized,2017-02-02 19:16:43,,,
6059 139,Thin Lizzy,The Boys Are Back In Town,Vertigo,"7"", Single",,1976,4996928,Uncategorized,2020-01-03 22:19:40,,,
878 241-2,Soft Cell,"12"" Mixes On CD",Vertigo,"Box, Comp, Ltd, Num + 10xCD, Maxi",,1990,476471,Uncategorized,2019-02-04 07:32:28,,,
VC 4043,David Bowie,Glass Spider,Video Collection International,"VHS, PAL",,1988,2632072,Uncategorized,2017-02-27 22:20:00,,,
VC 4044,David Bowie,(More Of) Glass Spider,Video Collection International,"VHS, PAL",,1988,7840079,Uncategorized,2017-02-27 22:24:28,,,
102 079,Orchestral Manoeuvres In The Dark,Messages,Virgin,"7"", Single",,1980,10962769,Uncategorized,2020-01-01 11:36:48,,,
OVED 6,The League Unlimited Orchestra,Love And Dancing,Virgin,"LP, Album",,1982,6860460,Uncategorized,2019-01-18 18:14:37,,,
SEX 1,Sex Pistols,Pistols Pack,Virgin,"6x7"", Single + Comp, Ltd",,1980,827750,Uncategorized,2020-01-03 00:33:29,,,
SMP 1,Simple Minds,Sanctify Yourself,Virgin,"7"", Single + 7"" + Ltd",,1986,909248,Uncategorized,2020-01-03 19:25:58,,,
SV 105,The Human League,Holiday '80 / Being Boiled,Virgin,"7"", Single, Mono",,1981,27707,Uncategorized,2019-12-31 15:21:05,,,
V 2207,Simple Minds,Sons And Fascination,Virgin,"LP, Album",,1981,38871,Uncategorized,2019-01-21 21:52:37,,,
V 2230,Simple Minds,New Gold Dream (81-82-83-84),Virgin,"LP, Album, CBS",,1982,79838,Uncategorized,2019-01-21 21:53:50,,,
V 2248,Simple Minds,Celebration,Virgin,"LP, Comp, RE",,1982,181732,Uncategorized,2019-01-21 21:51:22,,,
V 2276,Ryuichi Sakamoto,"Merry Christmas, Mr Lawrence",Virgin,"LP, Album",,1983,214262,David Bowie,2017-02-01 08:05:07,,,
V2208,Heaven 17,Penthouse And Pavement,Virgin,"LP, Album",,1981,27697,Uncategorized,2019-01-18 18:01:03,,,
V2300,Simple Minds,Sparkle In The Rain,Virgin,"LP, Album",,1984,119163,Uncategorized,2019-01-21 21:55:32,,,
V2326,Heaven 17,How Men Are,Virgin,"LP, Album",,1984,97148,Uncategorized,2019-01-18 18:05:04,,,
V2364,Simple Minds,Once Upon A Time,Virgin,"LP, Album",,1985,181737,Uncategorized,2019-01-21 21:49:52,,,
VD 2510,Sex Pistols,The Great Rock 'N' Roll Swindle,Virgin,"2xLP, Album",,1979,2960848,Uncategorized,2019-01-21 21:47:43,,,
VGD 3510,Japan,Exorcising Ghosts,Virgin,"2xLP, Comp",,1984,204189,Uncategorized,2019-01-18 18:28:36,,,
VM 2,Skids,Fanfare,Virgin,"LP, Comp",,1982,492968,Uncategorized,2019-01-21 22:04:34,,,
VP 2086,Sex Pistols,Never Mind The Bollocks Here's The Sex Pistols,Virgin,"LP, Album, Pic",,1978,600887,Uncategorized,2017-02-15 23:27:31,,,
VP2192,The Human League,Dare!,Virgin,"LP, Album, Ltd, Pic, Whi",,1981,1142997,Uncategorized,2019-01-18 18:11:37,,,
VR2,Sex Pistols,Some Product - Carri On Sex Pistols,Virgin,"LP, 1st",,1979,645225,Uncategorized,2019-01-21 21:45:26,,,
VS 181,Sex Pistols,God Save The Queen,Virgin,"7"", Single, Whi",,1977,4169794,Uncategorized,2020-01-03 00:23:20,,,
VS 1984,Starsailor,Tell Me It's Not Over,Virgin,"7"", Single",,2009,1680109,Uncategorized,2020-01-03 21:50:58,,,
VS 240,Sex Pistols,Something Else,Virgin,"7"", Single",,1979,473498,Uncategorized,2020-01-03 00:24:11,,,
VS 271,The Ruts,Babylon's Burning,Virgin,"7"", Single",,1979,12070594,Uncategorized,2020-01-03 00:04:57,,,
VS 294,The Human League,Empire State Human,Virgin,"7"", Single",,1979,439290,Uncategorized,2019-12-31 15:22:41,,,
VS 395,The Human League,Boys And Girls,Virgin,"7"", Single",,1981,1071193,Uncategorized,2019-12-31 15:23:52,,,
VS 400-12,Heaven 17,(We Don't Need This) Fascist Groove Thang,Virgin,"12"", Single",,1981,97484,Uncategorized,2019-09-09 22:42:21,,,
VS 410-12,Simple Minds,The American,Virgin,"12"", Single",,1981,7894200,Uncategorized,2017-01-31 19:20:24,,,
VS 511,Simple Minds,Glittering Prize,Virgin,"7"", Single",,1982,80110,Uncategorized,2020-01-03 19:13:06,,,
VS 538,Simple Minds,Someone Somewhere (In Summertime),Virgin,"7"", Single, Pos",,1982,1475642,Uncategorized,2020-01-03 19:16:26,,,
VS 578-12,Simple Minds,I Travel,Virgin,"12"", Single, RE, Red",,1983,51248,Uncategorized,2017-01-31 19:21:15,,,
VS 607,Heaven 17,Come Live With Me,Virgin,"7"", Single",,1983,13719208,Uncategorized,2019-12-31 15:03:20,,,
VS 628,Heaven 17,Crushed By The Wheels Of Industry,Virgin,"7"", Single, Glo",,1983,90448,Uncategorized,2019-12-31 15:05:05,,,
VS 672,The Human League,The Lebanon,Virgin,"7"", Single, Mat",,1984,97501,Uncategorized,2019-12-31 15:27:49,,,
VS 708,Heaven 17,Sunset Now,Virgin,"7"", Single",,1984,97137,Uncategorized,2019-12-31 15:06:32,,,
VS 723,The Human League,Louise,Virgin,"7"", Single, Mat",,1984,248431,Uncategorized,2019-12-31 15:30:34,,,
VS 740,Heaven 17,..(And That's No Lie),Virgin,"7"", Single",,1985,97151,Uncategorized,2019-12-31 15:10:14,,,
VS 749,Simple Minds,Don't You (Forget About Me),Virgin,"7"", Single, Mat",,1985,1521744,Uncategorized,2020-01-03 19:20:53,,,
VS 817,Simple Minds,Alive & Kicking,Virgin,"7"", Single",,1985,755688,Uncategorized,2020-01-03 19:23:02,,,
VS 906,David Bowie,When The Wind Blows,Virgin,"7"", Single",,1986,2531179,David Bowie,2019-01-14 21:45:33,,,
VS.101,Mike Oldfield,Mike Oldfield's Single (Theme From Tubular Bells),Virgin,"7"", Single",,1974,2011791,Uncategorized,2020-01-01 16:03:41,,,
VS453,The Human League,Open Your Heart,Virgin,"7"", Single, Sol",,1981,97502,Uncategorized,2019-12-31 15:25:15,,,
VS472,Japan,Ghosts,Virgin,"7"", Single",,1982,55819,Uncategorized,2019-12-31 18:28:53,,,
VS508,Mick Karn,Sensitive,Virgin,"7"", Single",,1982,56307,Uncategorized,2019-12-31 19:21:49,,,
VS581,Japan,Canton / Visions Of China (Live),Virgin,"7"", Single, Fli",,1983,8668183,Uncategorized,2019-12-31 21:43:24,,,
VS636-12,Simple Minds,Waterfront,Virgin,"12"", Single",,1983,235633,Uncategorized,2017-01-31 19:19:45,,,
VS688,The Human League,Life On Your Own,Virgin,"7"", Single",,1984,98156,Uncategorized,2019-12-31 15:31:53,,,
VST 1296,Les Rita Mitsouko,Hip Kit,Virgin,"12""",,1990,912066,Uncategorized,2019-09-22 21:50:10,,,
VST 1297,China Crisis,African And White (The Steve Proctor Remix),Virgin,"12"", Single",,1990,1120994,Uncategorized,2019-09-09 22:01:46,,,
VST 1329,Botany 5,Nature Boy,Virgin,"12""",,1991,160417,Uncategorized,2019-09-15 21:59:08,,,
VST 1372,Bassomatic,Go Getta Nutha Man,Virgin,"12""",,1991,80246,Uncategorized,2019-09-15 21:50:35,,,
VSTX 1248,Habit,Fly Like An Eagle,Virgin,"12""",,1990,668432,Uncategorized,2019-09-22 21:57:26,,,
VSTX 1250,Botany 5,Love Bomb (LFO Mixes),Virgin,"12""",,1990,85878,Uncategorized,2019-09-15 21:58:10,,,
VSTX 1325,Donna Gardier,Reach Out (Remix),Virgin,"12""",,1991,360008,Uncategorized,2019-09-22 22:05:19,,,
VSTXDJ 1273,Malcolm McLaren Presents World's Famous Supreme Team,Operaa House (Rap),Virgin,"12"", Promo, W/Lbl",,1990,1414228,Uncategorized,2019-09-17 21:37:48,,,
"GLOWD 1, GLOW D 1, GLOW D-1",Marc Almond,The House Is Haunted By The Echo Of Your Last Goodbye,"Virgin, Some Bizzare, Some Bizzare, Some Bizzare","2x7"", Single, Ltd",,1985,568333,Uncategorized,2019-12-30 10:36:42,,,
"106 167, 106167-100",Simple Minds,Speed Your Love To Me,"Virgin, Virgin","7"", Single",,1984,616942,Uncategorized,2020-01-03 19:19:25,,,
"202 968, 202 968-270",Japan,Gentlemen Take Polaroids,"Virgin, Virgin","LP, Album, M/Print, RP",,0,1847532,Uncategorized,2019-01-18 18:22:21,,,
"204 169, 204 169-270",Japan,Tin Drum,"Virgin, Virgin","LP, Album",,1981,1563887,Uncategorized,2019-01-18 18:25:40,,,
"V 2174, VDJ 33",Skids,The Absolute Game,"Virgin, Virgin","2xLP, Album, Fir",,1980,345186,Uncategorized,2019-01-21 22:01:43,,,
"V 2188, V.2188",The Ruts,Grin And Bear It,"Virgin, Virgin","LP, Album, Comp",,1980,1147257,Uncategorized,2019-01-21 21:34:05,,,
"V 2232, V2232",Culture Club,Kissing To Be Clever,"Virgin, Virgin","LP, Album",,1982,455024,Uncategorized,2019-01-17 21:35:22,,,
"V2253, V 2253",Heaven 17,The Luxury Gap,"Virgin, Virgin","LP, Album, EMI",,1983,126498,Uncategorized,2019-01-18 18:03:22,,,
"VS 274, VS274",Public Image Limited,Death Disco,"Virgin, Virgin","7"", Single",,1979,284469,Uncategorized,2020-01-02 23:24:29,,,
"VS 306, VS306",Skids,Working For The Yankee Dollar,"Virgin, Virgin","2x7""",,1979,7947306,Uncategorized,2020-01-03 19:46:51,,,
"VS 466, VS466",The Human League,Don't You Want Me,"Virgin, Virgin","7"", Single",,1981,97492,Uncategorized,2019-12-31 15:26:38,,,
"VS 518, VS518",Culture Club,Do You Really Want To Hurt Me,"Virgin, Virgin","7"", Single, CBS",,1982,297692,Uncategorized,2019-12-30 23:03:32,,,
"VS 529-12, VS529-12",Public Image Limited,This Is Not A Love Song,"Virgin, Virgin","12"", Single",,1983,230075,Uncategorized,2019-09-09 23:07:21,,,
"VS 722, VS722",Heaven 17,This Is Mine,"Virgin, Virgin","7"", Single, Pap",,1984,97145,Uncategorized,2019-12-31 15:09:17,,,
"VS 838, VS. 838",David Bowie,Absolute Beginners,"Virgin, Virgin","7"", Single",,1986,1210028,David Bowie,2019-01-14 21:56:05,,,
"VS409, VS 409",Japan,The Art Of Parties,"Virgin, Virgin","7"", Single",,1981,1846522,Uncategorized,2019-12-31 18:24:35,,,
"VS502, VS 502",Japan,Cantonese Boy,"Virgin, Virgin","2x7"", Single",,1982,137280,Uncategorized,2019-12-31 18:35:54,,,
"VS510, VS 510",Ryuichi Sakamoto & David Sylvian,Bamboo Houses ∙ Bamboo Music,"Virgin, Virgin","7"", Single, Gat",,1982,27369,Uncategorized,2020-01-03 00:10:33,,,
"VS558, VS 558",Culture Club,Time (Clock Of The Heart),"Virgin, Virgin","7"", Single, Yel",,1982,353644,Uncategorized,2019-12-30 23:05:35,,,
"VS817-13, VS 817-13",Simple Minds,Alive & Kicking,"Virgin, Virgin","12"", Single, Gol",,1985,1337535,Uncategorized,2019-09-09 23:11:43,,,
"VSG 838-12, VSG. 838-12",David Bowie,Absolute Beginners (Full Length Version),"Virgin, Virgin","12"", Single, Gat",,1986,571300,David Bowie,2017-02-28 17:52:43,,,
"VST 1247, VST1247",UFI Featuring Frankë Pharoah,Understand This Groove (I Really Love You),"Virgin, Virgin","12""",,1990,434383,Uncategorized,2017-02-28 19:20:41,,,
"VSY472, VSY 472",Japan,Ghosts,"Virgin, Virgin","7"", Single, Pic",,1982,867865,Uncategorized,2019-12-31 18:27:46,,,
"BONK P2, BONK 2",Marc Almond,Love Letter,"Virgin, Virgin, Some Bizzare, Some Bizzare","7"", Single, Ltd, Pos",,1985,681858,Uncategorized,2019-12-30 10:32:55,,,
"VSD 855, VS855, VS841",Public Image Limited,Home,"Virgin, Virgin, Virgin","2x7"", Ltd",,1986,2802426,Uncategorized,2020-01-02 23:26:07,,,
VRT001,Sugarbabies,Five Tones,Viva! (2),"12""",,1998,682653,Uncategorized,2019-09-23 18:39:50,,,
