Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
KLONE 45,Prima (2),Into The Groove / I Like It / You'll See,Klone Records,"12""",,1997,308459,Uncategorized,2019-09-23 18:04:54,,,
KLONE 51,Boys Of A New Age Featuring Katrina B.,The Whole Of The Moon,Klone Records,"12""",,1998,1122861,Uncategorized,2019-09-15 22:00:08,,,
KOOL T601,Model 500,Ocean To Ocean,Kool Kat,"12"", S/Sided, Promo",,1990,85886,Uncategorized,2019-09-23 16:28:30,,,
"KOOL T 600, KOOLT600",Rhythim Is Rhythim,The Beginning,"Kool Kat, Kool Kat","12""",,1990,29223,Uncategorized,2017-02-12 14:35:29,,,
KOW 32,Echo & The Bunnymen,The Killing Moon,Korova,"7"", Single",,1984,3160951,Uncategorized,2019-12-31 14:14:57,,,
"KODE 13, 240 767-1",Echo & The Bunnymen,Songs To Learn & Sing,"Korova, Korova","LP, Comp + 7"", Ltd",,1985,9574968,Uncategorized,2019-01-17 22:26:03,,,
"KOW 24, Kow 24",Echo & The Bunnymen,The Back Of Love,"Korova, Korova","7"", Single",,1982,6607797,Uncategorized,2019-12-31 14:09:08,,,
"KOW 34, 249 407-7",Echo & The Bunnymen,Silver,"Korova, Korova","7"", Single",,1984,427358,Uncategorized,2019-12-31 14:10:24,,,
"WEA 58 175, KODE 1, K 58 175",Echo & The Bunnymen,Crocodiles,"Korova, Korova, Korova","LP, Album, RE",,0,3978289,Uncategorized,2019-01-17 22:20:07,,,
Us312002,Us3,Schizophonic,"Kwerk, Us3","12"", Smplr",,2006,1397447,Uncategorized,2019-09-23 18:57:03,,,
R 6042,Dexys Midnight Runners,Keep It Part Two (Inferiority Part One),Late Night Feelings,"7"", Single",,1980,1189566,Uncategorized,2019-12-30 23:36:24,,,
005,David Bowie,The Beckenham Oddity,Leisure Records (3),"LP, Unofficial",,1987,1733018,David Bowie,2017-02-28 17:47:46,,,
LBR 1043,Buzzcocks,Singles Going Steady,Liberty,"LP, Comp, RE",,1981,7403648,Uncategorized,2017-02-01 23:37:43,,,
LIB 10003-Q,The Ventures,Guitar Twist,Liberty,"7""",,1962,6832119,Uncategorized,2020-01-03 23:27:39,,,
UP 36350,The Stranglers,5 Minutes,Liberty,"7"", Single, RE",,0,7350343,Uncategorized,2020-01-03 22:02:44,,,
6.14 190,Blancmange,The Day Before You Came,London Records,"7"", Single",,1984,48704,Uncategorized,2019-12-30 21:37:55,,,
BLANC 11,Blancmange,I Can See It,London Records,"7"", Single, Sil",,1986,5581514,Uncategorized,2019-12-30 22:03:15,,,
BLANC 9,Blancmange,What's Your Problem?,London Records,"7"", Single, Sil",,1985,387561,Uncategorized,2019-12-30 21:39:27,,,
